Size,Model_Variant,Accuracy,AUROC,F1,Time(s)
32,Deep_Drop,0.475,0.6641604010025063,0.27586206896551724,6.817932844161987
32,Deep_NoDrop,0.5,0.6240601503759399,0.375,5.88574481010437
32,Simple_Drop,0.65,0.6466165413533835,0.6111111111111112,7.205031394958496
32,Simple_NoDrop,0.575,0.68671679197995,0.5142857142857142,12.461576223373413
64,Deep_Drop,0.55,0.7293233082706767,0.47058823529411764,9.830731630325317
64,Deep_NoDrop,0.65,0.6491228070175439,0.631578947368421,6.160318613052368
64,Simple_Drop,0.525,0.5839598997493735,0.3870967741935484,5.870547533035278
64,Simple_NoDrop,0.575,0.6065162907268171,0.5142857142857142,5.431467771530151
224,Deep_Drop,0.475,0.543859649122807,0.0,10.526167631149292
224,Deep_NoDrop,0.55,0.6516290726817042,0.47058823529411764,18.260489225387573
224,Simple_Drop,0.6,0.6842105263157895,0.5555555555555556,16.786396980285645
224,Simple_NoDrop,0.625,0.6666666666666666,0.5714285714285714,10.117307662963867
512,Deep_Drop,0.525,0.681704260651629,0.3448275862068966,75.91600847244263
512,Deep_NoDrop,0.45,0.5839598997493735,0.26666666666666666,52.37682366371155
512,Simple_Drop,0.8,0.849624060150376,0.7777777777777778,56.56593322753906
512,Simple_NoDrop,0.55,0.644110275689223,0.47058823529411764,31.080533504486084
